bundle_path,scope,grade,subject,period,protocol,bundle_score,bundle_severity,quarantine,structural_issues,question_id,question_index,question_score,question_severity,flags
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v1,1,5,critical,"multiple-correct-options|option-length-imbalance|option-category-mismatch|english-pos-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v1,2,65,high,"invalid-option-count"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v2,3,65,high,"invalid-option-count"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v3,4,45,high,"invalid-option-count|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v4,5,65,high,"invalid-option-count"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v5,6,65,high,"invalid-option-count"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v6,7,65,high,"invalid-option-count"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v7,8,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v8,9,45,high,"invalid-option-count|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v9,10,45,high,"invalid-option-count|option-length-imbalance|option-category-mismatch"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v10,11,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v11,12,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v12,13,45,high,"invalid-option-count|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v13,14,25,high,"invalid-option-count|option-length-imbalance|option-category-mismatch|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v14,15,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v15,16,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v16,17,35,high,"invalid-option-count|option-length-imbalance|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v17,18,45,high,"invalid-option-count|correct-shape-outlier"
questions_data/colombia/ingles/grado-10/periodo-4/CO-ENG-10-identity-001-PRO-v4-bundle.md,colombia,10,ingles,4,4.1,45,critical,true,"",CO-ENG-10-identity-001-PRO-v18,19,65,high,"invalid-option-count"
